"","prov_nm","cty_nm","acd"
"1","河北","唐山","0315"
"2","湖北","宜昌","0717"
"3","湖南","湘西","0743"
"4","河北","保定","0312"
"5","河南","南阳","0377"
"6","河北","石家庄","0311"
"7","河北","邯郸","0310"
"8","河南","周口","0394"
"9","河南","郑州","0371"
"10","重庆","重庆","0811"
"11","广东","东莞","0769"
"12","福建","泉州","0595"
"13","河南","商丘","0370"
"14","河南","驻马店","0396"
"15","河北","沧州","0317"
"16","台湾","澎湖","00886"
"17","河北","邢台","0319"
"18","福建","福州","0591"
"19","河南","洛阳","0379"
"20","香港","香港","00852"
"21","河南","信阳","0376"
"22","河南","新乡","0373"
"23","河南","安阳","0372"
"24","上海","上海","021"
"25","福建","漳州","0596"
"26","河南","平顶山","0375"
"27","河南","开封","0378"
"28","海南","三沙","0898"
"29","河北","廊坊","0316"
"30","河北","张家口","0313"
"31","河北","衡水","0318"
"32","河南","许昌","0374"
"33","广东","梅州","0753"
"34","广东","深圳","0755"
"35","台湾","嘉义","00886"
"36","河南","濮阳","0393"
"37","北京","北京","010"
"38","河南","焦作","0391"
"39","河北","承德","0314"
"40","福建","宁德","0593"
"41","广东","中山","0760"
"42","福建","莆田","0594"
"43","福建","南平","0599"
"44","河北","秦皇岛","0335"
"45","福建","龙岩","0597"
"46","福建","三明","0598"
"47","广东","佛山","0757"
"48","河南","漯河","0395"
"49","福建","厦门","0592"
"50","天津","天津","022"
"51","河南","三门峡","0398"
"52","广东","广州","020"
"53","广东","揭阳","0663"
"54","台湾","新竹","00886"
"55","广西","贵港","0775"
"56","广西","玉林","0775"
"57","安徽","宿州","0557"
"58","江苏","苏州","0512"
"59","广东","汕头","0661"
"60","山东","枣庄","0632"
"61","江苏","无锡","0510"
"62","河南","鹤壁","0392"
"63","江苏","常州","0519"
"64","江苏","泰州","0523"
"65","江苏","宿迁","0527"
"66","广西","钦州","0777"
"67","安徽","阜阳","0558"
"68","浙江","杭州","0571"
"69","浙江","宁波","0574"
"70","江苏","徐州","0516"
"71","浙江","温州","0577"
"72","湖北","天门","0728"
"73","安徽","亳州","0558"
"74","浙江","台州","0576"
"75","山东","菏泽","0530"
"76","黑龙江","哈尔滨","0451"
"77","江西","宜春","0795"
"78","广东","潮州","0768"
"79","云南","昭通","0870"
"80","山东","泰安","0538"
"81","云南","曲靖","0874"
"82","江西","上饶","0793"
"83","台湾","台中","00886"
"84","广东","茂名","0668"
"85","湖南","长沙","0731"
"86","甘肃","兰州","0931"
"87","山东","临沂","0539"
"88","江苏","南通","0513"
"89","贵州","毕节","0857"
"90","安徽","六安","0564"
"91","台湾","台南","00886"
"92","浙江","金华","0579"
"93","辽宁","鞍山","0412"
"94","四川","成都","028"
"95","湖北","武汉","027"
"96","四川","内江","0832"
"97","四川","德阳","0838"
"98","陕西","西安","029"
"99","湖北","仙桃","0728"
"100","广东","惠州","0752"
"101","湖北","荆州","0716"
"102","吉林","长春","0431"
"103","江苏","盐城","0515"
"104","浙江","绍兴","0575"
"105","四川","达州","0818"
"106","广西","南宁","0771"
"107","湖南","衡阳","0734"
"108","江苏","南京","025"
"109","四川","资阳","028"
"110","四川","巴中","0827"
"111","山东","济南","0531"
"112","山东","济宁","0537"
"113","湖南","娄底","0738"
"114","湖南","邵阳","0739"
"115","吉林","四平","0434"
"116","江西","抚州","0794"
"117","江苏","扬州","0514"
"118","四川","绵阳","0816"
"119","广西","梧州","0774"
"120","贵州","六盘水","0858"
"121","安徽","蚌埠","0552"
"122","湖北","荆门","0724"
"123","江西","南昌","0791"
"124","湖北","孝感","0712"
"125","广西","来宾","0772"
"126","甘肃","武威","0935"
"127","辽宁","沈阳","024"
"128","湖北","襄阳","0710"
"129","安徽","淮北","0561"
"130","山东","日照","0633"
"131","山东","莱芜","0634"
"132","广东","云浮","0766"
"133","贵州","贵阳","0851"
"134","江苏","连云港","0518"
"135","山西","临汾","0357"
"136","湖南","岳阳","0730"
"137","湖南","株洲","0733"
"138","湖北","潜江","0728"
"139","贵州","遵义","0852"
"140","广东","清远","0763"
"141","广东","江门","0750"
"142","云南","保山","0875"
"143","海南","儋州","0890"
"144","四川","遂宁","0825"
"145","湖南","湘潭","0732"
"146","黑龙江","绥化","0455"
"147","湖南","益阳","0737"
"148","台湾","高雄","00886"
"149","山东","烟台","0535"
"150","广西","北海","0779"
"151","陕西","安康","0915"
"152","安徽","合肥","0551"
"153","江苏","淮安","0517"
"154","四川","广安","0826"
"155","云南","昆明","0871"
"156","湖南","常德","0736"
"157","湖南","永州","0746"
"158","广东","阳江","0662"
"159","江西","新余","0790"
"160","安徽","安庆","0556"
"161","湖北","黄石","0714"
"162","四川","宜宾","0831"
"163","四川","自贡","0813"
"164","浙江","嘉兴","0573"
"165","广东","肇庆","0758"
"166","陕西","渭南","0913"
"167","江西","景德镇","0798"
"168","广西","桂林","0773"
"169","江苏","镇江","0511"
"170","湖北","随州","0722"
"171","云南","文山","0876"
"172","贵州","黔西南","0859"
"173","山东","淄博","0533"
"174","安徽","滁州","0550"
"175","山东","滨州","0543"
"176","安徽","宣城","0563"
"177","贵州","安顺","0853"
"178","浙江","湖州","0572"
"179","山东","东营","0546"
"180","湖南","怀化","0745"
"181","内蒙古","包头","0472"
"182","山西","大同","0352"
"183","山东","威海","0631"
"184","四川","泸州","0840"
"185","四川","凉山","0834"
