colname,type
gid,character
bid,character
uuid,character
name,character
idcard,character
mobile,character
bankcard,character
gender,character
age,double
marriage,character
education_level,character
house_type,character
yearly_income,character
working_seniority,character
per_addr,character
app_tm,character
apply_addr,character
loan_reason,character
apply_source,character
product_type,character
apply_money,character
refund_periods,character
reg_addr_longitude_latitude,character
reg_addr,character
email,character
postalcode,character
oth_addr,character
contact1_relation,character
contact1_cell,character
contact1_name,character
contact1_addr,character
contact2_relation,character
contact2_cell,character
contact2_name,character
tel_home,character
home_addr_longitude_latitude,character
home_addr,character
tel_biz,character
biz_type,character
biz_positon,character
biz_industry,character
biz_company,character
biz_addr_longitude_latitude,character
biz_addr,character
os,character
mobile_type,character
mac,character
ip,character
imsi,character
imei,character
netlife,double
apply_addr_tidy,character
apply_addr_province,character
apply_addr_city,character
tel_biz_tidy,character
biz_addr_specific,double
apply_addr_specific,double
apply_mobile_acd,character
tel_biz_acd,character
provcty_acd,character
contact1_mobile_acd,character
contact2_mobile_acd,character
apply_mobile_opr,character
contact1_mobile_opr,character
contact2_mobile_opr,character
