field,type
gid,character
rid,character
uuid,character
age,numeric
netlife,numeric
apply_addr_specific,numeric
biz_addr_specific,numeric
contact1_relation_is_parent,numeric
contact2_relation_is_parent,numeric
contact1_relation_is_spouse,numeric
contact2_relation_is_spouse,numeric
contact1_relation_is_friend,numeric
contact2_relation_is_friend,numeric
issame_applmob_biz_acd,numeric
issame_applmob_provcty_acd,numeric
issame_biz_provcty_acd,numeric
issame_applmob_biz_prov_acd,numeric
issame_applmob_cont1mob_acd,numeric
issame_applmob_cont2mob_acd,numeric
issame_cont1mob_cont2mob_acd,numeric
issame_applmob_contmob_acd,numeric
issame_appl_cont1_mobopr,numeric
issame_appl_cont2_mobopr,numeric
issame_cont1_cont2_mobopr,numeric
issame_appl_cont_mobopr,numeric
is_male,numeric
is_female,numeric
is_android,numeric
is_ios,numeric
is_os_na,numeric
is_wechat,numeric
