field,type
gid,character
rid,character
uuid,character
mobile_na_rate,numeric
name_na_rate,numeric
avg_name_len,numeric
cnd_mobile_acd,integer
name_len_entropy,numeric
name_len_2_3,numeric
name_len_1,numeric
opr_entropy,numeric
crawl_mobile_SUM_SM_WW_WW_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_WW_WW_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_WW_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_WW_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_WW_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_WW_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_WW_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_WW_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_NWD_WW_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_WW_MORN_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_WW_MORN_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_MORN_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_MORN_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_MORN_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_MORN_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_MORN_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_MORN_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_NWD_MORN_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_WW_NOON_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_WW_NOON_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_NOON_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_NOON_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_NOON_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_NOON_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_NOON_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_NOON_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_NWD_NOON_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_WW_NIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_WW_NIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_NIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_NIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_NIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_NIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_NIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_NIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_NWD_NIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_WW_MIDNIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_WW_MIDNIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_MIDNIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_MIDNIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_MIDNIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_MIDNIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_MIDNIGT_WW_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_MIDNIGT_WW_ContactDuration,numeric
