field,type
gid,character
rid,character
uuid,character
mstuseprov_issameas_applyaddr,numeric
curruseprov_issameas_applyaddr,numeric
mstusecty_issameas_applyaddr,numeric
mstusecty2_issameas_applyaddr,numeric
mstusecty3_issameas_applyaddr,numeric
m3_mstamtcty_issameas_applyaddr,numeric
m3_mstamtcty2_issameas_applyaddr,numeric
m3_mstamtcty3_issameas_applyaddr,numeric
m6_mstamtcty_issameas_applyaddr,numeric
m6_mstamtcty2_issameas_applyaddr,numeric
m6_mstamtcty3_issameas_applyaddr,numeric
m6_mstposcty_issameas_applyaddr,numeric
m6_mstposcty2_issameas_applyaddr,numeric
m6_mstposcty3_issameas_applyaddr,numeric
currusecty_issameas_applyaddr,numeric
applyaddr_in_mostcty,numeric
applyaddr_in_mostcty2,numeric
applyaddr_in_mostprov,numeric
