field,type
gid,character
rid,character
uuid,character
CDTC050,numeric
CDTC054,numeric
CDTC052,numeric
CDTC051,numeric
CDTB278,numeric
CDTB283,numeric
CDTC047,numeric
CDTC044,numeric
CDTC048,numeric
CDTC049,numeric
CDTC041,numeric
CDTC040,numeric
CDTB263,numeric
CDTB265,numeric
CDTB267,numeric
CDTB273,numeric
CDTC033,numeric
CDTC034,numeric
CDTC035,numeric
CDTC036,numeric
CDTC037,numeric
CDTC038,numeric
CDTC039,numeric
CDTB298,numeric
CDTB299,numeric
CDTB296,numeric
CDTB297,numeric
CDTB286,numeric
CDTB287,numeric
CDTB288,numeric
CDTB292,numeric
CDTB295,numeric
CDTB291,numeric
CDTB233,numeric
CDTB232,numeric
CDTB230,numeric
CDTB237,numeric
CDTB236,numeric
CDTB235,numeric
CDTB234,numeric
CDTB239,numeric
CDTB238,numeric
CDTB240,numeric
CDTB220,numeric
CDTB222,numeric
CDTB221,numeric
CDTB224,numeric
CDTB223,numeric
CDTB226,numeric
CDTB228,numeric
CDTB258,numeric
CDTB257,numeric
CDTB256,numeric
CDTB255,numeric
CDTB254,numeric
CDTB253,numeric
CDTB252,numeric
CDTB261,numeric
CDTB260,numeric
CDTB246,numeric
CDTB245,numeric
CDTB248,numeric
CDTB247,numeric
CDTB242,numeric
CDTB241,numeric
CDTB244,numeric
CDTB243,numeric
CDTB249,numeric
CDTB250,numeric
CDTB251,numeric
CDTB216,numeric
CDTB217,numeric
CDTB218,numeric
CDTB219,numeric
CDTB212,numeric
CDTB213,numeric
CDTB214,numeric
CDTB215,numeric
CDTB210,numeric
CDTB211,numeric
CDTT107,numeric
CDTT106,numeric
CDTT105,numeric
CDTB209,numeric
CDTT104,numeric
CDTT103,numeric
CDTB207,numeric
CDTT102,numeric
CDTB208,numeric
CDTT101,numeric
CDTB205,numeric
CDTT100,numeric
CDTB206,numeric
CDTB203,numeric
CDTB204,numeric
CDTB201,numeric
CDTB202,numeric
CDTB200,numeric
CDTT109,numeric
CDTT108,numeric
CDMC098,numeric
CDMC099,numeric
CDMC090,numeric
CDMC091,numeric
CDMC092,numeric
CDMC093,numeric
CDMC094,numeric
CDMC095,numeric
CDMC096,numeric
CDMC097,numeric
CDMC089,numeric
CDMC087,numeric
CDMC088,numeric
CDMC081,numeric
CDMC082,numeric
CDMC080,numeric
CDMC085,numeric
CDMC086,numeric
CDMC083,numeric
CDMC084,numeric
CDMC060,numeric
CDMC062,numeric
CDMC061,numeric
CDTP150,numeric
CDMC064,numeric
CDMC063,numeric
CDMC066,numeric
CDMC065,numeric
CDMC068,numeric
CDMC067,numeric
CDMC069,numeric
CDTP159,numeric
CDTT080,numeric
CDTT085,numeric
CDTP151,numeric
CDTP152,numeric
CDTP153,numeric
CDTT088,numeric
CDTP154,numeric
CDTT081,numeric
CDTP155,numeric
CDTT082,numeric
CDTP156,numeric
CDTT083,numeric
CDTP157,numeric
CDTT084,numeric
CDTP158,numeric
CDMC071,numeric
CDMC070,numeric
CDTP161,numeric
CDMC075,numeric
CDMC074,numeric
CDTP160,numeric
CDTT079,numeric
CDMC073,numeric
CDTT078,numeric
CDMC072,numeric
CDMC079,numeric
CDMC078,numeric
CDMC077,numeric
CDMC076,numeric
CDTP164,numeric
CDTP162,numeric
CDTT075,numeric
CDTP163,numeric
CDTT072,numeric
CDTT070,numeric
CDTT071,numeric
CDTP167,numeric
CDTT068,numeric
CDMC040,numeric
CDTT067,numeric
CDMC042,numeric
